"","COUNTY","County","FIPS_res","TOTAL_CASES","TOTAL_DEATHS","CASES_BLACK","DEATHS_BLACK","HOSP_BLACK","CASES_WHITE","DEATHS_WHITE","HOSP_WHITE","PERC_CASES_RACE_UNK","PERC_DEATHS_RACE_UNK","PERC_HOSP_RACE_UNK","TOTAL_VAX","TOTAL_VAX_BLACK","TOTAL_VAX_WHITE","PERC_VAX_RACE_UNK","TOTAL_VAX_65","TOTAL_VAX_65_BLACK","TOTAL_VAX_65_WHITE","Total_pop","WHITE_count","BLACK_count","WHITE","BLACK","WHITE_65_count","BLACK_65_count"
"11","Bibb","Bibb County, Georgia",13021,13025,"378","7030","211","1090",3526,"161","525",14.0499040307102,0.264550264550265,1.18413262285376,28757,"10234",14104,3.89470389818131,14341,"4564",7802,153200,58712,83170,38.3,54.3,13010,"8725"
"12","Bleckley","Bleckley County, Georgia",13023,789,"33","233","6","10",487,"27","34",4.30925221799747,0,0,1607,"196",1262,2.11574362165526,894,"93",743,12807,8781,3500,68.6,27.3,1830,"300"
"13","Brantley","Brantley County, Georgia",13025,890,"29","32","<5","<5",696,"27","62",13.8202247191011,0,0,1864,"72",1691,0.590128755364807,1164,"49",1069,18756,17285,619,92.2,3.3,2645,"90"
"14","Brooks","Brooks County, Georgia",13027,923,"36","421","15","53",313,"20","28",13.8678223185265,0,1.17647058823529,3042,"1006",1655,3.58316896778435,1844,"538",1094,15590,8804,5587,56.5,35.8,2115,"795"
"15","Bryan","Bryan County, Georgia",13029,2591,"33","380","5","41",1585,"27","123",14.8591277499035,0,0,7368,"715",5582,3.63735070575461,3330,"296",2666,37063,27076,5133,73.1,13.8,2980,"395"
"16","Bulloch","Bulloch County, Georgia",13031,5129,"58","1290","19","89",2631,"38","109",17.3523103918893,0,1.91387559808612,11421,"1941",8283,4.17651694247439,5753,"931",4370,76120,48323,21133,63.5,27.8,6030,"1560"
"17","Burke","Burke County, Georgia",13033,1710,"33","899","18","95",529,"15","39",10.9941520467836,0,5.47945205479452,3717,"1411",1758,5.24616626311542,2025,"697",1002,22520,10645,10824,47.3,48.1,1950,"1220"
"18","Butts","Butts County, Georgia",13035,2051,"71","481","20","48",1067,"49","58",21.160409556314,0,4.31034482758621,2939,"619",1988,2.65396393331065,1853,"346",1323,24090,15907,6966,66,28.9,2670,"695"
"19","Calhoun","Calhoun County, Georgia",13037,433,"14","276","8","52",107,"6","18",5.77367205542725,0,0,1530,"808",619,1.56862745098039,741,"345",343,6365,2076,3839,32.6,60.3,435,"455"
"20","Camden","Camden County, Georgia",13039,3100,"26","662","12","49",1768,"14","70",12.9677419354839,0,0,8869,"1381",6759,2.15356860976435,5012,"692",4029,53231,37155,9921,69.8,18.6,5055,"975"
"21","Candler","Candler County, Georgia",13043,735,"35","154","16","19",357,"18","33",17.2789115646259,0,8.33333333333333,2066,"444",1286,4.01742497579864,1173,"238",772,10812,6556,2717,60.6,25.1,1420,"375"
"22","Carroll","Carroll County, Georgia",13045,7133,"128","1351","21","91",3964,"101","173",13.2062245899341,0,2.6578073089701,14883,"1756",11109,3.46032385943694,8466,"847",6545,117183,82322,22305,70.3,19,12615,"1665"
"23","Catoosa","Catoosa County, Georgia",13047,5288,"61","106","<5","8",3349,"55","178",30.6921331316188,3.27868852459016,18.0672268907563,11243,"127",10088,4.57173352308103,6563,"60",5982,66700,60661,1369,90.9,2.1,10365,"135"
"24","Charlton","Charlton County, Georgia",13049,1040,"21","240","<5","20",385,"14","30",29.1346153846154,0,6.55737704918033,1049,"239",718,0.571973307912297,664,"140",473,13040,7973,3375,61.1,25.9,1520,"310"
"25","Chatham","Chatham County, Georgia",13051,19261,"377","7956","161","809",7087,"193","576",11.2818649083641,1.59151193633952,2.59909031838856,62906,"16194",36588,3.43210504562363,30896,"7610",19052,288496,139916,113750,48.5,39.4,26940,"11975"
"26","Chattahoochee","Chattahoochee County, Georgia",13053,2861,"10","362","<5","11",1844,"<5","11",8.70325061167424,0,4,435,"152",212,6.20689655172414,208,"73",117,10560,6080,2099,57.6,19.9,295,"105"
"27","Chattooga","Chattooga County, Georgia",13055,2141,"60","157","7","21",1304,"53","127",26.0158804297057,0,7.31707317073171,4337,"335",3646,0.553377910998386,2577,"192",2221,24812,20536,2556,82.8,10.3,3745,"365"
"28","Cherokee","Cherokee County, Georgia",13057,21188,"280","1095","9","76",13218,"249","848",17.8591655654144,0.714285714285714,4.95726495726496,47361,"1882",37440,5.22793015350183,24769,"693",20884,247515,194846,16601,78.7,6.7,27755,"865"
"29","Clarke","Clarke County, Georgia",13059,12339,"120","2885","52","218",5701,"59","162",15.8116541048707,0.833333333333333,5.0314465408805,23810,"3995",15199,5.75388492230155,10635,"1868",7397,126176,69418,34907,55,27.7,8935,"2925"
"30","Clay","Clay County, Georgia",13061,180,"<5","99","<5","9",49,"<5","<5",15,0,0,694,"269",344,1.00864553314121,429,"147",238,2951,1045,1841,35.4,62.4,370,"285"
"31","Clayton","Clayton County, Georgia",13063,22000,"398","11483","248","826",1617,"79","139",23.5318181818182,0.50251256281407,3.39920948616601,30510,"16044",6703,5.55555555555556,14436,"6726",4314,283538,28559,193754,10.1,68.3,9020,"11575"
"32","Clinch","Clinch County, Georgia",13065,718,"24","231","12","25",351,"12","33",14.2061281337047,0,1.58730158730159,1059,"156",665,6.8932955618508,606,"70",384,6686,4354,1900,65.1,28.4,825,"175"
"33","Cobb","Cobb County, Georgia",13067,57405,"891","12899","226","971",21336,"534","1196",18.3381238568069,0.336700336700337,2.90598290598291,145653,"22309",90501,5.61608755054822,67929,"7488",49531,751218,389948,200733,51.9,26.7,66265,"10705"
"34","Coffee","Coffee County, Georgia",13069,4184,"128","1213","46","249",1901,"77","303",14.4120458891013,0,4.70957613814757,6247,"1267",4139,1.72882983832239,3159,"564",2225,43021,25010,12230,58.1,28.4,4345,"1105"
"35","Colquitt","Colquitt County, Georgia",13071,3401,"71","704","23","55",1416,"38","99",5.38077036165834,1.40845070422535,2.11864406779661,6977,"1184",4685,4.18517987673785,4099,"597",2902,45486,25418,10535,55.9,23.2,5310,"1015"
"36","Columbia","Columbia County, Georgia",13073,10697,"156","2169","31","117",5498,"113","282",14.6863606618678,0.641025641025641,3.3112582781457,27042,"3248",17858,3.69795133496043,12875,"1302",9048,150705,103491,24995,68.7,16.6,14665,"1850"
"37","Cook","Cook County, Georgia",13075,1147,"36","314","13","38",617,"23","65",12.1185701830863,0,0,3045,"674",1991,2.46305418719212,1647,"337",1131,17177,11116,4624,64.7,26.9,2030,"535"
"38","Coweta","Coweta County, Georgia",13077,8346,"170","1647","45","104",4463,"116","175",17.7570093457944,0.588235294117647,2.62295081967213,21789,"2703",15747,4.19018770939465,11477,"1243",8722,143260,101717,25318,71,17.7,14625,"2465"
"39","Crawford","Crawford County, Georgia",13079,510,"15","143","10","30",280,"5","31",13.1372549019608,0,1.58730158730159,1928,"581",1158,2.54149377593361,1079,"277",707,12325,9030,2708,73.3,22,1630,"445"
"40","Crisp","Crisp County, Georgia",13081,1394,"47","641","24","88",499,"22","51",12.1951219512195,2.12765957446809,5.16129032258065,4403,"1327",2539,3.17965023847377,2318,"597",1453,22713,11330,10344,49.9,45.5,2860,"1015"
"41","Dade","Dade County, Georgia",13083,1153,"10","8","<5","<5",764,"10","46",29.5750216825672,0,17.8571428571429,2887,"8",2714,1.62798753030828,1833,"8",1732,16197,15116,106,93.3,0.7,2790,"<5"
"42","Dawson","Dawson County, Georgia",13085,2602,"37","14","<5","<5",1998,"29","201",16.6794773251345,0,6.43776824034335,4167,"20",3659,3.95968322534197,2558,"9",2310,24536,22598,258,92.1,1.1,4405,"<5"
"43","Decatur","Decatur County, Georgia",13087,2085,"53","870","22","69",872,"27","57",6.28297362110312,0,0,5052,"1442",3149,1.14806017418844,2860,"721",1924,26682,13397,11219,50.2,42,2895,"1240"
"44","DeKalb","DeKalb County, Georgia",13089,54079,"841","22928","488","2676",9976,"252","564",18.3601767784168,0.832342449464923,5.16068496364063,137946,"43979",58845,7.86902121119858,58018,"20503",25846,749323,218260,400411,29.1,53.4,37870,"38510"
"45","Dodge","Dodge County, Georgia",13091,1072,"56","376","23","50",614,"33","53",4.47761194029851,0,0.961538461538462,2473,"449",1753,1.98139911039224,1330,"217",978,20829,13484,5987,64.7,28.7,2720,"680"
